NIF;NOMBRE DEL FONDO;NOMBRE DE LA GESTORA;DIRECCIÓN;POLÍTICA DE INVERSIÓN;VARIABILIDAD DEL CAPITAL;SUB FONDO;ISIN;CÓDIGO DE SUPERVISOR
V81050007;BNP PARIBAS CAAP EQUILIBRADO, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;mixtos;capital variable;No;ES0171955000;FI556
V81050007;BNP PARIBAS CAAP EQUILIBRADO, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;mixtos;capital variable;No;ES0171955018;FI556
V81050007;BNP PARIBAS CAAP EQUILIBRADO, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;mixtos;capital variable;No;ES0171955026;FI556
V81050007;BNP PARIBAS CAAP EQUILIBRADO, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;mixtos;capital variable;No;ES0171955034;FI556
V81049991;BNP PARIBAS CAAP MODERADO, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;mixtos;capital variable;No;ES0171954003;FI555
V81049991;BNP PARIBAS CAAP MODERADO, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;mixtos;capital variable;No;ES0171954011;FI555
V81049991;BNP PARIBAS CAAP MODERADO, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;mixtos;capital variable;No;ES0171954029;FI555
V81049991;BNP PARIBAS CAAP MODERADO, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;mixtos;capital variable;No;ES0171954037;FI555
V81663973;BNP PARIBAS DIVERSIFIED, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;mixtos;capital variable;No;ES0118581034;FI925
V81663940;BNP PARIBAS EURO, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;obligaciones;capital variable;No;ES0125472037;FI891
V82591157;BNP PARIBAS GESTION MODERADA, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;mixtos;capital variable;No;ES0118532003;FI2061
V82591157;BNP PARIBAS GESTION MODERADA, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;mixtos;capital variable;No;ES0118532011;FI2061
V82591157;BNP PARIBAS GESTION MODERADA, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;mixtos;capital variable;No;ES0118532037;FI2061
V81960569;BNP PARIBAS GLOBAL ASSET ALLOCATION, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;mixtos;capital variable;No;ES0118531039;FI1373
V80057961;BNP PARIBAS GLOBAL DINVER, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;mixtos;capital variable;No;ES0160615037;FI242
V82640038;BNP PARIBAS MANAGEMENT FUND, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;otros;capital variable;No;ES0118553009;FI2150
V82640038;BNP PARIBAS MANAGEMENT FUND, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;otros;capital variable;No;ES0118553017;FI2150
V82640038;BNP PARIBAS MANAGEMENT FUND, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;otros;capital variable;No;ES0118553033;FI2150
V81218596;BNP PARIBAS MIXTO MODERADO, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;mixtos;capital variable;No;ES0160617009;FI585
V81218596;BNP PARIBAS MIXTO MODERADO, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;mixtos;capital variable;No;ES0160617017;FI585
V81218596;BNP PARIBAS MIXTO MODERADO, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;mixtos;capital variable;No;ES0160617033;FI585
V81577520;BNP PARIBAS RENTA FIJA, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;obligaciones;capital variable;No;ES0150037002;FI3694
V81577520;BNP PARIBAS RENTA FIJA, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;obligaciones;capital variable;No;ES0150037036;FI3694
V82053034;BNP PARIBAS RENTA FIJA MIXTA GLOBAL, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;mixtos;capital variable;No;ES0118552035;FI1514
V82053059;BNP PARIBAS SELECCION, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;mixtos;capital variable;No;ES0160620003;FI1513
V82053059;BNP PARIBAS SELECCION, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;mixtos;capital variable;No;ES0160620011;FI1513
V82053059;BNP PARIBAS SELECCION, FI;BNP PARIBAS GESTION DE INVERSIONES, SGIIC, S.A.;C/ HERMANOS BECQUER, 3, 28006, MADRID;mixtos;capital variable;No;ES0160620037;FI1513
V61009932;BONA-RENDA, FI;GVC GAESCO GESTIÓN, SGIIC, S.A.;C./ DOCTOR FERRAN, Nº 3-5, 1ª PLANTA, 08034, BARCELONA;mixtos;capital variable;No;ES0115091037;FI655
V85114205;BOREAS CARTERA ACTIVA, FI;TRESSIS GESTION, S.G.I.I.C., S.A.;CALLE ORENSE, 4- PLANTA 13, 28020, MADRID;otros;capital variable;No;ES0114902002;FI3836
V85114205;BOREAS CARTERA ACTIVA, FI;TRESSIS GESTION, S.G.I.I.C., S.A.;CALLE ORENSE, 4- PLANTA 13, 28020, MADRID;otros;capital variable;No;ES0114902010;FI3836
V85664902;BRIGHTGATE ABSOLUTE RETURN, FIL;BRIGHTGATE CAPITAL, S.G.I.I.C., S.A.;C/ Génova, 11;;;;;
V85664902;BRIGHTGATE ABSOLUTE RETURN, FIL;BRIGHTGATE CAPITAL, S.G.I.I.C., S.A.;C/ Génova, 11;;;;;
V85664902;BRIGHTGATE ABSOLUTE RETURN, FIL;BRIGHTGATE CAPITAL, S.G.I.I.C., S.A.;C/ Génova, 11;;;;;
V86266335;BSG PROMETEO, FI;NOVO BANCO GESTION, SGIIC, S.A.;C/ SERRANO 88, 28006, MADRID;otros;capital variable;No;ES0115114003;FI4383
V75163410;CA BANKOA HORIZONTE 2026, FI;CREDIT AGRICOLE BANKOA GESTIÓN, S.A. S.G.I.I.C.;AVENIDA DE LA LIBERTAD 5, PLANTA 5ª, 20004, DONOSTIA-SAN SEBASTIAN;obligaciones;capital variable;No;ES0150040006;FI5076
V75151357;CA BANKOA OBJETIVO 2022, FI;CREDIT AGRICOLE BANKOA GESTIÓN, S.A. S.G.I.I.C.;AVENIDA DE LA LIBERTAD 5, PLANTA 5ª, 20004, DONOSTIA-SAN SEBASTIAN;otros;capital variable;No;ES0116007008;FI4965
V75156315;CA BANKOA OBJETIVO 2022 II, FI;CREDIT AGRICOLE BANKOA GESTIÓN, S.A. S.G.I.I.C.;AVENIDA DE LA LIBERTAD 5, PLANTA 5ª, 20004, DONOSTIA-SAN SEBASTIAN;otros;capital variable;No;ES0118525007;FI5008
V75171728;CA BP PRIME CONSERVADOR, FI;CREDIT AGRICOLE BANKOA GESTIÓN, S.A. S.G.I.I.C.;AVENIDA DE LA LIBERTAD 5, PLANTA 5ª, 20004, DONOSTIA-SAN SEBASTIAN;mixtos;capital variable;No;ES0116008006;FI5126
V75184689;CA BP PRIME MODERADO, FI;CREDIT AGRICOLE BANKOA GESTIÓN, S.A. S.G.I.I.C.;AVENIDA DE LA LIBERTAD 5, PLANTA 5ª, 20004, DONOSTIA-SAN SEBASTIAN;mixtos;capital variable;No;ES0116009004;FI5207
V75131359;CA SELECCION ESTRATEGIA 20, FI;CREDIT AGRICOLE BANKOA GESTIÓN, S.A. S.G.I.I.C.;AVENIDA DE LA LIBERTAD 5, PLANTA 5ª, 20004, DONOSTIA-SAN SEBASTIAN;mixtos;capital variable;No;ES0171962006;FI4866
V75120105;CA SELECCION ESTRATEGIA 50, FI;CREDIT AGRICOLE BANKOA GESTIÓN, S.A. S.G.I.I.C.;AVENIDA DE LA LIBERTAD 5, PLANTA 5ª, 20004, DONOSTIA-SAN SEBASTIAN;mixtos;capital variable;No;ES0124503006;FI4818
V20618468;CA SELECCION ESTRATEGIA 80, FI;CREDIT AGRICOLE BANKOA GESTIÓN, S.A. S.G.I.I.C.;AVENIDA DE LA LIBERTAD 5, PLANTA 5ª, 20004, DONOSTIA-SAN SEBASTIAN;participaciones;capital variable;No;ES0164593032;FI1347
V66278987;CAIXA CAPITAL MICRO II, FCR;CAIXA CAPITAL RISC, SGEIC, S.A.;AVENIDA DIAGONAL, 621, TORRE II, 08028, BARCELONA;otros;capital fijo;No;ES0140950009;FCR160
V66359118;CAIXA CAPITAL TIC II, FCR;CAIXA CAPITAL RISC, SGEIC, S.A.;AVENIDA DIAGONAL, 621, TORRE II, 08028, BARCELONA;otros;capital fijo;No;ES0140951007;FCR166
V66240177;CAIXA INNVIERTE BIOMED II, FCR;CAIXA CAPITAL RISC, SGEIC, S.A.;AVENIDA DIAGONAL, 621, TORRE II, 08028, BARCELONA;otros;capital fijo;No;ES0125477002;FCR155
V66667973;CAIXA INNVIERTE START, FCR;CAIXA CAPITAL RISC, SGEIC, S.A.;AVENIDA DIAGONAL, 621, TORRE II, 08028, BARCELONA;otros;capital fijo;No;ES0125478000;FCR186
V78600921;CAIXABANK AHORRO, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;obligaciones;capital variable;No;ES0105002002;FI93
V78600921;CAIXABANK AHORRO, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;obligaciones;capital variable;No;ES0105002010;FI93
V78600921;CAIXABANK AHORRO, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;obligaciones;capital variable;No;ES0105002028;FI93
V78600921;CAIXABANK AHORRO, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;obligaciones;capital variable;No;ES0105002036;FI93
V78600921;CAIXABANK AHORRO, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;obligaciones;capital variable;No;ES0105002044;FI93
V82619065;CAIXABANK BOLSA ALL CAPS ESPAÑA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0114180005;FI2098
V82619065;CAIXABANK BOLSA ALL CAPS ESPAÑA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0114180013;FI2098
V82619065;CAIXABANK BOLSA ALL CAPS ESPAÑA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0114180039;FI2098
V63760946;CAIXABANK BOLSA DIVIDENDO EUROPA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0184923003;FI3143
V63760946;CAIXABANK BOLSA DIVIDENDO EUROPA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0184923011;FI3143
V63760946;CAIXABANK BOLSA DIVIDENDO EUROPA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0184923029;FI3143
V63760946;CAIXABANK BOLSA DIVIDENDO EUROPA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0184923037;FI3143
V63760946;CAIXABANK BOLSA DIVIDENDO EUROPA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0184923045;FI3143
V64062110;CAIXABANK BOLSA ESPAÑA 150, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0137878031;FI3351
V82425901;CAIXABANK BOLSA ESPAÑA 2019, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;otros;capital variable;No;ES0138520038;FI1930
V79196168;CAIXABANK BOLSA GESTION ESPAÑA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0105182002;FI164
V79196168;CAIXABANK BOLSA GESTION ESPAÑA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0105182010;FI164
V79196168;CAIXABANK BOLSA GESTION ESPAÑA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0105182028;FI164
V79196168;CAIXABANK BOLSA GESTION ESPAÑA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0105182036;FI164
V80929193;CAIXABANK BOLSA GESTION EURO, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0170738001;FI562
V80929193;CAIXABANK BOLSA GESTION EURO, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0170738019;FI562
V80929193;CAIXABANK BOLSA GESTION EURO, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0170738027;FI562
V80929193;CAIXABANK BOLSA GESTION EURO, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0170738035;FI562
V64103484;CAIXABANK BOLSA GESTION EUROPA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0138068004;FI3377
V64103484;CAIXABANK BOLSA GESTION EUROPA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0138068012;FI3377
V64103484;CAIXABANK BOLSA GESTION EUROPA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0138068020;FI3377
V64103484;CAIXABANK BOLSA GESTION EUROPA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0138068038;FI3377
V82379751;CAIXABANK BOLSA INDICE ESPAÑA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;otros;capital variable;No;ES0138392008;FI1878
V82379751;CAIXABANK BOLSA INDICE ESPAÑA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;otros;capital variable;No;ES0138392032;FI1878
V58224353;CAIXABANK BOLSA INDICE EURO, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;otros;capital variable;No;ES0138792009;FI32
V58224353;CAIXABANK BOLSA INDICE EURO, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;otros;capital variable;No;ES0138792033;FI32
V64041163;CAIXABANK BOLSA SELECCION ASIA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0138137007;FI3323
V64041163;CAIXABANK BOLSA SELECCION ASIA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0138137015;FI3323
V64041163;CAIXABANK BOLSA SELECCION ASIA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0138137023;FI3323
V64041163;CAIXABANK BOLSA SELECCION ASIA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0138137031;FI3323
V82607771;CAIXABANK BOLSA SELECCION EMERGENTES, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0138328002;FI2083
V82607771;CAIXABANK BOLSA SELECCION EMERGENTES, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0138328010;FI2083
V82607771;CAIXABANK BOLSA SELECCION EMERGENTES, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0138328028;FI2083
V82607771;CAIXABANK BOLSA SELECCION EMERGENTES, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0138328036;FI2083
V62614599;CAIXABANK BOLSA SELECCION EUROPA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0138181005;FI2476
V62614599;CAIXABANK BOLSA SELECCION EUROPA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0138181013;FI2476
V62614599;CAIXABANK BOLSA SELECCION EUROPA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0138181021;FI2476
V62614599;CAIXABANK BOLSA SELECCION EUROPA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0138181039;FI2476
V62613880;CAIXABANK BOLSA SELECCION GLOBAL, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0138172004;FI2475
V62613880;CAIXABANK BOLSA SELECCION GLOBAL, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0138172012;FI2475
V62613880;CAIXABANK BOLSA SELECCION GLOBAL, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0138172020;FI2475
V62613880;CAIXABANK BOLSA SELECCION GLOBAL, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0138172038;FI2475
V82104381;CAIXABANK BOLSA SELECCION JAPON, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0122056007;FI1610
V82104381;CAIXABANK BOLSA SELECCION JAPON, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0122056015;FI1610
V82104381;CAIXABANK BOLSA SELECCION JAPON, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0122056023;FI1610
V82104381;CAIXABANK BOLSA SELECCION JAPON, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0122056031;FI1610
V62614516;CAIXABANK BOLSA SELECCION USA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0138189008;FI2477
V62614516;CAIXABANK BOLSA SELECCION USA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0138189016;FI2477
V62614516;CAIXABANK BOLSA SELECCION USA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0138189024;FI2477
V62614516;CAIXABANK BOLSA SELECCION USA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0138189032;FI2477
V81863326;CAIXABANK BOLSA SMALL CAPS EURO, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0106193008;FI1247
V81863326;CAIXABANK BOLSA SMALL CAPS EURO, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0106193016;FI1247
V81863326;CAIXABANK BOLSA SMALL CAPS EURO, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0106193024;FI1247
V81863326;CAIXABANK BOLSA SMALL CAPS EURO, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0106193032;FI1247
V66198227;CAIXABANK BOLSA USA DIVISA CUBIERTA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;otros;capital variable;No;ES0137625002;FI4744
V82100553;CAIXABANK BOLSA USA, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0138615036;FI1609
V87947693;CAIXABANK BONOS FLOTANTES 2022, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;obligaciones;capital variable;No;ES0125479008;FI5217
V61329264;CAIXABANK COMUNICACIONES, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0113693008;FI923
V61329264;CAIXABANK COMUNICACIONES, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;participaciones;capital variable;No;ES0113693032;FI923
V84583947;CAIXABANK CRECIMIENTO, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;mixtos;capital variable;No;ES0164540009;FI3366
V84583947;CAIXABANK CRECIMIENTO, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;mixtos;capital variable;No;ES0164540033;FI3366
V66674920;CAIXABANK DESTINO 2022, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;otros;capital variable;No;ES0137608008;FI4947
V66674920;CAIXABANK DESTINO 2022, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;otros;capital variable;No;ES0137608016;FI4947
V66675018;CAIXABANK DESTINO 2030, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;otros;capital variable;No;ES0137474005;FI4948
V66675018;CAIXABANK DESTINO 2030, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;otros;capital variable;No;ES0137474013;FI4948
V66674953;CAIXABANK DESTINO 2040, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;otros;capital variable;No;ES0137626000;FI4949
V66674953;CAIXABANK DESTINO 2040, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;otros;capital variable;No;ES0137626018;FI4949
V66674979;CAIXABANK DESTINO 2050, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;otros;capital variable;No;ES0137413003;FI4950
V66674979;CAIXABANK DESTINO 2050, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;otros;capital variable;No;ES0137413011;FI4950
V71042477;CAIXABANK DIVERSIFICADO CONSERVADOR, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;otros;capital variable;No;ES0115651004;FI4258
V71042477;CAIXABANK DIVERSIFICADO CONSERVADOR, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;otros;capital variable;No;ES0115651012;FI4258
V82607789;CAIXABANK DIVERSIFICADO DINAMICO, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;otros;capital variable;No;ES0138257003;FI2086
V82607789;CAIXABANK DIVERSIFICADO DINAMICO, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;otros;capital variable;No;ES0138257037;FI2086
V66249202;CAIXABANK DP ABRIL 2021, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;otros;capital variable;No;ES0115652002;FI4724
V66249202;CAIXABANK DP ABRIL 2021, FI;CAIXABANK ASSET MANAGEMENT SGIIC, S.A.;PASEO CASTELLANA, 51, 28046, MADRID;otros;capital variable;No;ES0115652010;FI4724
